#RPLIDAR SCAN DATA
#COUNT=500
#Angule	Distance	Quality
353.4961 697.0 188
354.2157 692.0 188
355.0616 692.0 188
355.7648 691.0 188
356.4844 690.0 188
357.0612 691.0 188
357.7808 691.0 188
358.4949 688.0 188
359.3243 689.0 188
359.9176 689.0 188
0.6207 689.0 188
1.3403 691.0 188
2.1863 690.0 188
2.7631 691.0 188
3.4827 691.0 188
4.1858 693.0 188
4.9054 693.0 188
5.6250 695.0 188
6.4490 694.0 188
7.0422 697.0 188
7.7454 699.0 188
8.5913 698.0 188
9.0582 700.0 188
9.8877 702.0 188
10.6073 703.0 188
11.3104 705.0 188
12.0300 707.0 188
12.7496 708.0 188
13.3264 712.0 188
14.1669 714.0 188
14.7656 715.0 188
15.4688 718.0 188
16.1829 721.0 188
16.9025 723.0 188
17.6056 726.0 188
18.4515 729.0 188
19.1711 731.0 188
19.7479 736.0 188
20.5884 738.0 188
21.1871 743.0 188
21.8903 745.0 188
22.6044 749.0 188
23.3240 753.0 188
24.0271 756.0 188
24.7467 761.0 188
25.3400 766.0 188
26.1694 771.0 188
26.7627 774.0 188
27.4823 779.0 188
28.1854 785.0 188
28.9050 791.0 188
29.7455 796.0 188
30.3278 801.0 188
31.0419 807.0 188
31.6406 813.0 188
32.3438 819.0 188
33.0579 824.0 188
33.9038 831.0 188
34.4971 840.0 188
35.2167 859.0 188
35.8099 860.0 188
36.5131 868.0 188
37.3590 876.0 188
38.0731 884.0 188
38.7927 894.0 188
39.5123 904.0 188
40.2319 915.0 188
40.8087 924.0 188
41.5283 936.0 188
42.1216 948.0 188
42.8412 961.0 188
43.5608 973.0 188
44.4012 985.0 188
45.0000 997.0 188
45.7031 1013.0 188
46.4172 1026.0 188
47.1368 1041.0 188
47.8564 1057.0 188
48.5760 1074.0 188
49.1693 1091.0 188
49.8724 1106.0 188
50.5920 1125.0 188
51.1853 1146.0 188
51.9049 1163.0 188
52.6245 1183.0 188
53.3386 1206.0 188
54.0582 1226.0 188
54.6405 1256.0 188
55.4810 1277.0 188
56.2006 1304.0 188
56.7938 1341.0 188
57.4969 1335.0 188
58.2166 1322.0 188
59.0625 1317.0 188
59.7766 1305.0 188
60.4797 1297.0 188
61.1993 1290.0 188
61.7926 1281.0 188
62.6385 1274.0 188
63.2153 1266.0 188
64.0613 1261.0 188
64.7809 1253.0 188
65.4950 1250.0 188
66.0773 1242.0 188
66.9177 1235.0 188
67.6373 1228.0 188
68.3569 1225.0 188
69.0601 1217.0 188
69.7797 1215.0 188
70.4993 1211.0 188
71.2134 1206.0 188
71.9165 1199.0 188
72.6361 1197.0 188
73.3557 1193.0 188
74.0753 1190.0 188
74.7784 1188.0 188
75.6244 1185.0 188
76.2177 1184.0 188
