#RPLIDAR SCAN DATA
#COUNT=500
#Angule	Distance	Quality
353.8696 572.0 188
354.4684 572.0 188
355.1715 572.0 188
356.0120 570.0 188
356.7316 569.0 188
357.3083 570.0 188
358.0280 570.0 188
358.9838 570.0 188
359.4507 569.0 188
0.2802 570.0 188
0.9998 570.0 188
1.7029 570.0 188
2.2961 571.0 188
3.1201 570.0 188
3.8397 571.0 188
4.4165 571.0 188
5.2625 573.0 188
6.0919 573.0 188
6.8115 574.0 188
7.4048 575.0 188
7.9816 576.0 188
8.8110 577.0 188
9.4043 578.0 188
10.1074 580.0 188
10.8270 582.0 188
11.5302 582.0 188
12.1234 585.0 188
12.9529 587.0 188
13.7933 589.0 188
14.4965 589.0 188
14.9634 592.0 188
15.6665 594.0 188
16.6388 596.0 188
17.0892 599.0 188
17.9352 600.0 188
18.7646 603.0 188
19.2151 606.0 188
19.9347 608.0 188
20.6378 611.0 188
21.4838 615.0 188
22.0605 621.0 188
22.7802 626.0 188
23.3569 664.0 188
24.0765 653.0 188
24.7797 636.0 188
25.7465 619.0 188
26.4496 603.0 188
27.1692 588.0 188
27.8723 575.0 188
28.8391 561.0 188
29.4214 549.0 188
30.2618 537.0 188
30.9650 526.0 188
31.8109 514.0 188
32.5305 504.0 188
33.3545 494.0 188
33.9478 485.0 188
34.9200 476.0 188
35.6232 468.0 188
36.5900 459.0 188
37.1832 452.0 188
38.1390 444.0 188
38.7323 438.0 188
39.4519 430.0 188
40.4022 423.0 188
40.8746 417.0 188
41.9678 411.0 188
42.4347 406.0 188
43.5114 400.0 188
44.1046 395.0 188
44.6979 390.0 188
45.6537 384.0 188
46.4996 380.0 188
47.2137 375.0 188
48.0432 371.0 188
48.8892 366.0 188
49.2297 363.0 188
50.0592 359.0 188
51.0260 355.0 188
51.4984 352.0 188
52.5751 348.0 188
53.2947 345.0 188
54.2615 341.0 188
54.6075 338.0 188
55.5579 335.0 188
56.4038 332.0 188
56.8707 330.0 188
57.4640 327.0 188
58.5461 324.0 188
59.1394 321.0 188
59.7327 319.0 188
61.1993 317.0 188
61.2927 315.0 188
62.3749 312.0 188
63.3417 310.0 188
64.0613 308.0 188
64.7809 306.0 188
65.2313 304.0 188
65.8246 303.0 188
66.5442 301.0 188
67.8900 299.0 188
67.9834 298.0 188
68.9337 296.0 188
70.0269 294.0 188
70.9991 293.0 188
70.9662 292.0 188
71.7957 291.0 188
72.7625 290.0 188
73.2294 289.0 188
74.0753 288.0 188
75.6683 284.0 188
75.7452 286.0 188
76.7175 280.0 188
77.4371 281.0 188
77.6514 283.0 188
78.4973 279.0 188
80.7001 263.0 188
81.0461 262.0 188
80.8704 262.0 188
81.4636 261.0 188
82.6831 260.0 188
83.3862 260.0 188
84.3585 260.0 188
84.6991 259.0 188
85.0287 260.0 188
