#RPLIDAR SCAN DATA
#COUNT=495
#Angule	Distance	Quality
352.5128 1663.0 188
353.2324 1730.0 188
353.9520 1761.0 188
354.6716 1789.0 188
355.3857 1819.0 188
356.1053 1846.0 188
356.8250 1881.0 188
357.5281 1918.0 188
358.2477 1941.0 188
358.9673 1981.0 188
359.5605 2018.0 188
0.2802 2047.0 188
0.9998 2050.0 188
1.7139 2050.0 188
2.4335 2055.0 188
3.1531 2048.0 188
3.8727 2049.0 188
4.5923 2052.0 188
5.3119 2051.0 188
6.0260 2055.0 188
6.7456 2051.0 188
7.4652 2060.0 188
8.1848 2061.0 188
8.8879 2064.0 188
9.6075 2066.0 188
10.3271 2067.0 188
11.0468 2068.0 188
11.7609 2080.0 188
12.4640 2080.0 188
13.1836 2086.0 188
13.9032 2087.0 188
14.6228 2089.0 188
15.3424 2092.0 188
16.0455 2097.0 188
16.7651 2102.0 188
17.4792 2116.0 188
18.1989 2120.0 188
18.9185 2133.0 188
19.6381 2141.0 188
20.3412 2145.0 188
21.0608 2154.0 188
21.7804 2158.0 188
22.5000 2173.0 188
23.2141 2189.0 188
23.9172 2198.0 188
24.6368 2207.0 188
25.3564 2214.0 188
26.0760 2230.0 188
26.7957 2249.0 188
27.3724 2258.0 188
28.2184 2278.0 188
28.9325 2288.0 188
29.5312 2297.0 188
30.3717 2317.0 188
30.9650 2338.0 188
31.6681 2374.0 188
32.3877 2333.0 188
33.1073 2281.0 188
33.9478 2234.0 188
34.6674 2197.0 188
35.3870 2152.0 188
36.1066 2115.0 188
36.8262 2079.0 188
37.5458 2045.0 188
38.2654 2012.0 188
39.1058 1974.0 188
39.8254 1944.0 188
40.5450 1889.0 188
41.2646 1857.0 188
41.9843 1830.0 188
42.6984 1848.0 188
43.4015 1874.0 188
43.9948 1890.0 188
44.8407 1920.0 188
45.5603 1939.0 188
46.1536 1967.0 188
46.8732 1969.0 188
47.5928 1948.0 188
48.4332 1917.0 188
49.0265 1901.0 188
49.8724 1881.0 188
50.5920 1860.0 188
51.3116 1840.0 188
52.0312 1821.0 188
52.7454 1796.0 188
53.4650 1783.0 188
54.1846 1761.0 188
54.8877 1750.0 188
55.6073 1733.0 188
56.3269 1696.0 188
57.0465 1953.0 188
57.7606 1693.0 188
58.4802 1676.0 188
59.1998 1661.0 188
59.9194 1649.0 188
60.7654 1632.0 188
61.4795 1625.0 188
62.1991 1607.0 188
62.9187 1601.0 188
63.6383 1588.0 188
64.3579 1581.0 188
65.0775 1572.0 188
65.7916 1560.0 188
66.4948 1548.0 188
67.2144 1544.0 188
67.9340 1538.0 188
68.6536 1528.0 188
69.3732 1518.0 188
70.0928 1515.0 188
70.8124 1504.0 188
71.6528 1498.0 188
72.2461 1492.0 188
72.9657 1484.0 188
73.6853 1478.0 188
74.5312 1475.0 188
75.1245 1468.0 188
75.8386 1463.0 188
76.6846 1456.0 188
77.4042 1453.0 188
78.1073 1450.0 188
78.7006 1443.0 188
79.4037 1441.0 188
80.2496 1439.0 188
80.9637 1435.0 188
81.5460 1434.0 188
82.3865 1430.0 188
83.1061 1423.0 188
83.8092 1420.0 188
84.5288 1418.0 188
85.2319 1419.0 188
85.8252 1417.0 188
86.6711 1422.0 188
87.3743 1416.0 188
88.0884 1415.0 188
88.6871 1412.0 188
89.5111 1411.0 188
90.2307 1413.0 188
90.9338 1413.0 188
91.6534 1409.0 188
92.3730 1410.0 188
93.0762 1408.0 188
93.7958 1414.0 188
94.5154 1411.0 188
95.2185 1415.0 188
95.9326 1413.0 188
96.5149 1412.0 188
97.3553 1419.0 188
97.9486 1421.0 188
98.6517 1423.0 188
99.3713 1428.0 188
101.6510 1375.0 188
103.2330 1225.0 188
103.9526 1230.0 188
104.6667 1232.0 188
105.3864 1235.0 188
106.1224 1239.0 188
107.6825 1200.0 188
109.1382 1158.0 188
109.8578 1112.0 188
110.5774 1068.0 188
111.3080 1028.0 188
112.2803 988.0 188
112.8735 960.0 188
113.7305 926.0 188
114.4501 896.0 188
115.2960 870.0 188
116.0156 844.0 188
116.7462 820.0 188
117.7185 798.0 188
118.3118 777.0 188
119.1687 756.0 188
119.8883 738.0 188
120.6079 722.0 188
121.4484 704.0 188
122.3108 689.0 188
123.0304 673.0 188
123.7500 660.0 188
124.6069 645.0 188
125.3101 632.0 188
126.0297 621.0 188
126.8701 608.0 188
127.5897 597.0 188
128.4357 586.0 188
129.1553 577.0 188
129.7321 567.0 188
130.5780 558.0 188
131.2921 549.0 188
132.1381 539.0 188
132.7313 532.0 188
133.8245 524.0 188
134.2804 517.0 188
135.2472 508.0 188
