x y z
1.122286 -0.733904 0.000000
1.126833 -0.705498 0.000000
1.139654 -0.680549 0.000000
1.150246 -0.654827 0.000000
1.160303 -0.627377 0.000000
1.170530 -0.602536 0.000000
1.178872 -0.574715 0.000000
1.409404 -0.544509 0.000000
1.144499 -0.486229 0.000000
1.157990 -0.459070 0.000000
1.169563 -0.433358 0.000000
1.241598 -0.407429 0.000000
1.250040 -0.377009 0.000000
1.266063 -0.347014 0.000000
1.275747 -0.318113 0.000000
1.273503 -0.288546 0.000000
1.099148 -0.272999 0.000000
1.088441 -0.247600 0.000000
1.081443 -0.222312 0.000000
1.070536 -0.196866 0.000000
1.070609 -0.169574 0.000000
1.076238 -0.142469 0.000000
1.077189 -0.115321 0.000000
1.071225 -0.090679 0.000000
1.081618 -0.060638 0.000000
1.081017 -0.032486 0.000000
1.091949 0.000269 0.000000
1.459851 0.191008 0.000000
1.270133 0.192386 0.000000
1.187332 0.225675 0.000000
1.145556 0.239201 0.000000
1.107236 0.254316 0.000000
1.074477 0.270821 0.000000
1.039906 0.285579 0.000000
0.641161 0.123246 0.000000
0.617721 0.129008 0.000000
0.592133 0.135241 0.000000
0.577828 0.149795 0.000000
0.558374 0.157335 0.000000
0.510664 0.141478 0.000000
0.516775 0.170942 0.000000
0.388489 0.076586 0.000000
0.371061 0.080649 0.000000
0.354747 0.085574 0.000000
0.339902 0.090067 0.000000
0.326270 0.094770 0.000000
0.314309 0.102892 0.000000
0.369825 0.218407 0.000000
0.356028 0.228018 0.000000
0.342204 0.238704 0.000000
0.323772 0.241479 0.000000
0.306534 0.248340 0.000000
0.291719 0.255029 0.000000
0.276977 0.262135 0.000000
0.261413 0.267575 0.000000
0.246225 0.274938 0.000000
0.231408 0.281158 0.000000
0.214774 0.286702 0.000000
0.197016 0.289290 0.000000
0.182977 0.294301 0.000000
0.168007 0.303842 0.000000
0.152683 0.310968 0.000000
0.540308 1.981799 0.000000
0.491370 2.010515 0.000000
0.437917 2.024919 0.000000
0.385668 2.039108 0.000000
0.334550 2.061042 0.000000
0.282529 2.085459 0.000000
0.226916 2.098021 0.000000
0.172733 2.120459 0.000000
0.117764 2.133681 0.000000
0.061642 2.145738 0.000000
0.007057 2.173488 0.000000
-0.049389 2.199312 0.000000
-0.108270 2.215120 0.000000
-0.166663 2.237126 0.000000
-0.224876 2.263136 0.000000
-0.286215 2.284688 0.000000
-0.348319 2.309613 0.000000
-0.412476 2.327694 0.000000
-0.477624 2.360405 0.000000
-0.544804 2.384886 0.000000
-0.613373 2.416610 0.000000
-0.683690 2.439713 0.000000
-0.752343 2.451997 0.000000
-0.826910 2.482221 0.000000
-0.904177 2.517237 0.000000
-0.984929 2.552610 0.000000
-1.069078 2.587439 0.000000
-1.222687 2.814865 0.000000
-1.366382 2.983614 0.000000
-1.422166 2.908772 0.000000
-1.534946 2.971303 0.000000
-1.627288 2.980842 0.000000
-1.848325 3.050287 0.000000
-1.932870 3.022381 0.000000
-2.026668 3.015705 0.000000
-2.096005 2.960638 0.000000
-2.453076 3.371431 0.000000
-2.512169 3.286918 0.000000
-2.620081 3.269455 0.000000
-2.664115 3.162518 0.000000
-2.693361 3.038617 0.000000
-2.747669 2.951979 0.000000
-2.787412 2.850243 0.000000
-2.818990 2.744461 0.000000
-2.858339 2.649401 0.000000
-2.905866 2.565745 0.000000
-2.935689 2.466098 0.000000
-2.948379 2.354597 0.000000
-2.985747 2.269813 0.000000
-3.028578 2.188729 0.000000
-3.074849 2.115949 0.000000
-3.118534 2.039006 0.000000
-3.134430 1.942907 0.000000
-3.168385 1.859938 0.000000
-3.171081 1.758894 0.000000
-3.204838 1.682673 0.000000
-3.220966 1.591204 0.000000
-3.274774 1.527821 0.000000
-3.296566 1.444267 0.000000
-3.334685 1.370721 0.000000
-3.354197 1.289948 0.000000
-3.388801 1.215251 0.000000
-3.417386 1.137866 0.000000
-3.421810 1.052502 0.000000
-3.476636 0.985849 0.000000
-3.501050 0.907450 0.000000
-3.533354 0.834216 0.000000
-3.562979 0.758771 0.000000
-3.595734 0.684083 0.000000
-3.975388 0.708270 0.000000
-2.032866 0.053094 0.000000
-2.053789 0.012255 0.000000
-2.057331 -0.033435 0.000000
-2.078319 -0.074450 0.000000
-2.097860 -0.117411 0.000000
-2.110696 -0.161190 0.000000
-2.122184 -0.206560 0.000000
-2.133206 -0.249481 0.000000
-2.153252 -0.296259 0.000000
-2.169903 -0.341096 0.000000
-2.192328 -0.387162 0.000000
-2.202239 -0.433402 0.000000
-2.214107 -0.480772 0.000000
-2.240630 -0.529667 0.000000
-2.251471 -0.579735 0.000000
-2.271158 -0.628424 0.000000
-2.291914 -0.680762 0.000000
-2.299209 -0.732906 0.000000
-2.332045 -0.787700 0.000000
-2.352370 -0.842509 0.000000
-2.389918 -0.902470 0.000000
-2.434012 -0.966925 0.000000
-4.007961 -1.613795 0.000000
-4.066842 -1.729280 0.000000
-4.106498 -1.842194 0.000000
-4.170647 -1.969387 0.000000
-4.276407 -2.116111 0.000000
-4.282044 -2.227848 0.000000
-4.242345 -2.321024 0.000000
-3.724273 -2.184861 0.000000
-3.673417 -2.259474 0.000000
-3.614687 -2.329235 0.000000
-3.512297 -2.374151 0.000000
-3.465897 -2.449594 0.000000
-3.479968 -2.562297 0.000000
-3.376622 -2.600264 0.000000
-3.347352 -2.688049 0.000000
-3.128140 -2.638772 0.000000
-3.124797 -2.740415 0.000000
-4.593974 -4.189338 0.000000
-4.455929 -4.241366 0.000000
-4.305297 -4.277666 0.000000
-4.155048 -4.309044 0.000000
-4.046372 -4.381098 0.000000
-3.927024 -4.435829 0.000000
-3.802557 -4.484382 0.000000
-3.674063 -4.522769 0.000000
-3.531302 -4.542487 0.000000
-3.410633 -4.584535 0.000000
-3.292733 -4.622323 0.000000
-3.183460 -4.673845 0.000000
-3.060417 -4.703684 0.000000
-2.961811 -4.766923 0.000000
-2.841547 -4.792846 0.000000
-2.745012 -4.854885 0.000000
-2.637096 -4.902938 0.000000
-2.535713 -4.956087 0.000000
-2.399068 -4.949168 0.000000
-2.309439 -5.026438 0.000000
-2.182300 -5.021028 0.000000
-2.076753 -5.059639 0.000000
-0.356016 -1.133586 0.000000
-0.284861 -1.001256 0.000000
-0.264396 -0.984747 0.000000
-0.245218 -0.970888 0.000000
-0.229700 -0.961909 0.000000
-0.214707 -0.956888 0.000000
-0.200140 -0.954269 0.000000
-0.186379 -0.951164 0.000000
-0.174150 -0.948265 0.000000
-0.161134 -0.947007 0.000000
-0.147621 -0.946777 0.000000
-0.135309 -0.948618 0.000000
-0.122342 -0.950230 0.000000
-0.111272 -0.953691 0.000000
-0.099804 -0.957939 0.000000
-0.088216 -0.965450 0.000000
-0.073931 -0.974944 0.000000
-0.061064 -0.990146 0.000000
0.042275 -1.650421 0.000000
0.073070 -1.661364 0.000000
0.100412 -1.663287 0.000000
0.130985 -1.672470 0.000000
0.429038 -2.647910 0.000000
0.459999 -2.558811 0.000000
0.488005 -2.470060 0.000000
0.516842 -2.400440 0.000000
0.543320 -2.326506 0.000000
0.566036 -2.255333 0.000000
0.590310 -2.192897 0.000000
0.616529 -2.131796 0.000000
0.636246 -2.072744 0.000000
0.657351 -2.020545 0.000000
0.676363 -1.964711 0.000000
0.693626 -1.914845 0.000000
0.711378 -1.868295 0.000000
0.744233 -1.846692 0.000000
0.559995 -0.942242 0.000000
0.500397 -0.866130 0.000000
0.552501 -0.886114 0.000000
0.565943 -0.873752 0.000000
0.611103 -0.887281 0.000000
0.996821 -1.070156 0.000000
1.008255 -1.044257 0.000000
1.011992 -1.014960 0.000000
1.023883 -0.989830 0.000000
1.034638 -0.962275 0.000000
1.048253 -0.938137 0.000000
1.052274 -0.910675 0.000000
1.062703 -0.885214 0.000000
1.073384 -0.859511 0.000000
1.084195 -0.833115 0.000000
1.094065 -0.807430 0.000000
1.104557 -0.781911 0.000000
1.114479 -0.757905 0.000000
