x y z
-2.359276 -4.402292 0.000000
-2.358572 -4.374516 0.000000
-2.352697 -4.347345 0.000000
-2.349371 -4.317684 0.000000
-2.349489 -4.290506 0.000000
-2.348806 -4.262416 0.000000
-2.343471 -4.234111 0.000000
-2.427359 -4.220030 0.000000
-2.400815 -4.187968 0.000000
-2.398469 -4.159130 0.000000
-2.400883 -4.133461 0.000000
-2.330103 -4.088410 0.000000
-2.329190 -4.056428 0.000000
-2.327010 -4.025822 0.000000
-2.325453 -3.994523 0.000000
-2.322901 -3.962707 0.000000
-2.496274 -3.995514 0.000000
-2.515108 -3.975069 0.000000
-2.532409 -3.953372 0.000000
-2.544766 -3.930723 0.000000
-2.548859 -3.905766 0.000000
-2.559811 -3.882281 0.000000
-2.566466 -3.857424 0.000000
-2.570104 -3.829376 0.000000
-2.576621 -3.802523 0.000000
-2.585094 -3.776481 0.000000
-2.590140 -3.748522 0.000000
-2.267292 -3.407051 0.000000
-2.447244 -3.499536 0.000000
-2.492564 -3.495081 0.000000
-2.530268 -3.486771 0.000000
-2.574950 -3.483724 0.000000
-2.615515 -3.478129 0.000000
-2.652727 -3.472348 0.000000
-2.688581 -3.467090 0.000000
-2.220010 -2.779193 0.000000
-3.049112 -3.726100 0.000000
-3.075138 -3.725985 0.000000
-3.098908 -3.727150 0.000000
-3.116448 -3.716751 0.000000
-3.138632 -3.716413 0.000000
-3.160980 -3.716478 0.000000
-3.178978 -3.711761 0.000000
-3.200102 -3.712340 0.000000
-3.291009 -3.839457 0.000000
-3.308689 -3.841409 0.000000
-3.323010 -3.837309 0.000000
-3.337993 -3.838179 0.000000
-3.354668 -3.837078 0.000000
-3.521687 -4.196210 0.000000
-3.349554 -3.701960 0.000000
-3.364106 -3.695040 0.000000
-3.399249 -3.694364 0.000000
-3.416893 -3.694220 0.000000
-3.432087 -3.688095 0.000000
-3.449959 -3.687930 0.000000
-3.467409 -3.684708 0.000000
-3.483520 -3.683604 0.000000
-3.500580 -3.682240 0.000000
-3.516729 -3.684615 0.000000
-3.532067 -3.680620 0.000000
-3.550112 -3.679576 0.000000
-3.567015 -3.672495 0.000000
-3.686941 -1.954192 0.000000
-3.743445 -1.947173 0.000000
-3.797924 -1.945510 0.000000
-3.854496 -1.946014 0.000000
-3.910208 -1.934070 0.000000
-3.969389 -1.932168 0.000000
-4.025851 -1.932671 0.000000
-4.084000 -1.926857 0.000000
-4.139163 -1.934697 0.000000
-4.203986 -1.907026 0.000000
-4.265908 -1.905476 0.000000
-4.324136 -1.909197 0.000000
-4.388297 -1.900887 0.000000
-4.453359 -1.893729 0.000000
-4.518014 -1.887018 0.000000
-4.586681 -1.877598 0.000000
-4.655456 -1.871839 0.000000
-4.722164 -1.870472 0.000000
-4.796444 -1.861405 0.000000
-4.877546 -1.837483 0.000000
-4.946845 -1.844727 0.000000
-5.019017 -1.849202 0.000000
-5.108800 -1.824814 0.000000
-5.183020 -1.831251 0.000000
-5.279981 -1.805300 0.000000
-5.359328 -1.812658 0.000000
-5.581277 -1.616547 0.000000
-5.746920 -1.521631 0.000000
-5.789267 -1.598897 0.000000
-5.919601 -1.564458 0.000000
-6.247986 -1.570995 0.000000
-6.332832 -1.610561 0.000000
-6.556508 -1.509951 0.000000
-6.881339 -1.329667 0.000000
-6.879228 -1.469006 0.000000
-6.947912 -1.542064 0.000000
-7.066438 -1.571445 0.000000
-7.046445 -1.714875 0.000000
-7.055269 -1.830970 0.000000
-7.075522 -1.935495 0.000000
-7.073829 -2.052541 0.000000
