x y z
-1.198862 -1.096207 0.000000
-1.234750 -1.098785 0.000000
-1.270241 -1.104953 0.000000
-1.302071 -1.112908 0.000000
-1.334853 -1.118778 0.000000
-1.368060 -1.121545 0.000000
-1.400897 -1.129442 0.000000
-1.432381 -1.132850 0.000000
-1.465323 -1.137739 0.000000
-1.497300 -1.141244 0.000000
-1.528809 -1.147173 0.000000
-1.561176 -1.153750 0.000000
-1.590829 -1.159465 0.000000
-1.621641 -1.164652 0.000000
-1.653745 -1.168243 0.000000
-1.685426 -1.168958 0.000000
-1.716219 -1.178101 0.000000
-1.748665 -1.177310 0.000000
-1.779178 -1.186388 0.000000
-1.810848 -1.190748 0.000000
-1.843039 -1.192576 0.000000
-1.874737 -1.197626 0.000000
-1.907206 -1.204623 0.000000
-1.940112 -1.207289 0.000000
-1.973271 -1.213141 0.000000
-2.006025 -1.215225 0.000000
-2.039900 -1.222419 0.000000
-2.072827 -1.225184 0.000000
-2.109299 -1.233849 0.000000
-2.144937 -1.238765 0.000000
-2.180112 -1.240890 0.000000
-2.217917 -1.246103 0.000000
-2.256439 -1.254901 0.000000
-2.294728 -1.253935 0.000000
-2.335638 -1.267533 0.000000
-2.375270 -1.268974 0.000000
-1.943541 -0.102186 0.000000
-1.946547 -0.093017 0.000000
-1.949504 -0.083018 0.000000
-1.948898 -0.077170 0.000000
-1.956128 -0.071034 0.000000
-1.959489 -0.069209 0.000000
-1.962658 -0.069961 0.000000
-1.969971 -0.065163 0.000000
-1.974064 -0.066969 0.000000
-1.978616 -0.064729 0.000000
-2.010821 -0.066033 0.000000
-1.997901 -0.037039 0.000000
-1.991967 -0.028162 0.000000
-1.989272 -0.016705 0.000000
-1.957030 0.019308 0.000000
-1.954276 0.025564 0.000000
-1.952596 0.030884 0.000000
-1.950278 0.036286 0.000000
-1.950644 0.040007 0.000000
-1.948658 0.044810 0.000000
-1.951369 0.051634 0.000000
-1.951043 0.050907 0.000000
-1.793559 0.470787 0.000000
-1.783226 0.471117 0.000000
-1.772618 0.468082 0.000000
-1.766158 0.464967 0.000000
-1.755739 0.459381 0.000000
-1.748341 0.455948 0.000000
-1.738413 0.451672 0.000000
-1.735663 0.426766 0.000000
-1.730308 0.424619 0.000000
-1.719153 0.421178 0.000000
-1.712795 0.420739 0.000000
-1.705138 0.419397 0.000000
-1.695880 0.420448 0.000000
-1.685208 0.417061 0.000000
-1.679129 0.414995 0.000000
-1.668413 0.414620 0.000000
-1.661787 0.413059 0.000000
-1.655328 0.409145 0.000000
-1.646660 0.405746 0.000000
-1.636855 0.403412 0.000000
-1.625819 0.408701 0.000000
-1.617988 0.400814 0.000000
-1.609504 0.399234 0.000000
-1.597691 0.398003 0.000000
-0.980303 1.031168 0.000000
-0.933215 1.034558 0.000000
0.494380 2.456106 0.000000
0.468103 2.315779 0.000000
-0.660109 1.158148 0.000000
-1.596242 0.250795 0.000000
-1.594563 0.238136 0.000000
-1.597672 0.234474 0.000000
-1.597461 0.220045 0.000000
-1.603170 0.214635 0.000000
-1.598685 0.204760 0.000000
-1.596603 0.200419 0.000000
-1.593434 0.199233 0.000000
-1.591821 0.193615 0.000000
-1.589541 0.187953 0.000000
-1.556199 0.177831 0.000000
-1.542687 0.175389 0.000000
-1.541429 0.171126 0.000000
-1.539088 0.162455 0.000000
-1.532934 0.156621 0.000000
-1.525451 0.151003 0.000000
0.225894 0.207409 0.000000
0.213278 0.156561 0.000000
0.204413 0.105840 0.000000
0.190296 0.055690 0.000000
0.179419 0.005469 0.000000
0.163513 -0.041220 0.000000
0.153782 -0.090104 0.000000
0.135347 -0.138210 0.000000
0.123826 -0.185634 0.000000
0.121289 -0.237145 0.000000
0.104798 -0.282876 0.000000
0.091268 -0.329471 0.000000
0.079264 -0.377411 0.000000
0.067653 -0.424910 0.000000
0.053905 -0.471837 0.000000
0.044013 -0.518379 0.000000
0.028135 -0.564184 0.000000
0.016535 -0.612261 0.000000
0.002261 -0.658404 0.000000
-0.005168 -0.708438 0.000000
-0.021406 -0.755020 0.000000
-0.031551 -0.806830 0.000000
-0.045996 -0.853384 0.000000
-0.054051 -0.906643 0.000000
-0.071935 -0.954442 0.000000
-0.080463 -1.008074 0.000000
-0.127000 -1.038133 0.000000
-0.196820 -1.051734 0.000000
-0.271951 -1.058955 0.000000
-0.346910 -1.061395 0.000000
-0.417602 -1.063019 0.000000
-0.477534 -1.071822 0.000000
-0.537736 -1.077695 0.000000
-0.596282 -1.082346 0.000000
-0.651877 -1.084604 0.000000
-0.705207 -1.090555 0.000000
-0.753738 -1.097419 0.000000
-0.802873 -1.100820 0.000000
-0.852158 -1.102426 0.000000
-0.898823 -1.107069 0.000000
-0.943120 -1.109322 0.000000
-0.986353 -1.112461 0.000000
-1.027618 -1.115876 0.000000
-1.069740 -1.119052 0.000000
-1.107665 -1.123565 0.000000
-1.148035 -1.125308 0.000000
