x y z
1.675521 2.099232 0.000000
1.663015 2.099573 0.000000
1.650934 2.100158 0.000000
1.639194 2.100504 0.000000
1.625136 2.100920 0.000000
1.614250 2.101353 0.000000
1.600008 2.100011 0.000000
1.588235 2.100194 0.000000
1.576192 2.100815 0.000000
1.562975 2.101327 0.000000
1.549303 2.100311 0.000000
1.536808 2.101756 0.000000
1.522348 2.101637 0.000000
1.508347 2.101607 0.000000
1.495529 2.102585 0.000000
1.480595 2.102573 0.000000
1.465587 2.102990 0.000000
1.449338 2.102094 0.000000
1.433023 2.102730 0.000000
1.417579 2.102914 0.000000
1.401037 2.105007 0.000000
1.383739 2.104752 0.000000
1.363790 2.108005 0.000000
1.345151 2.111181 0.000000
1.324936 2.111202 0.000000
1.305073 2.112287 0.000000
1.285528 2.112875 0.000000
1.262841 2.112231 0.000000
1.239715 2.113662 0.000000
1.218354 2.112459 0.000000
1.193278 2.112280 0.000000
1.165602 2.113816 0.000000
1.137161 2.115747 0.000000
1.108403 2.118254 0.000000
1.076363 2.118095 0.000000
1.043280 2.120298 0.000000
1.005026 2.122354 0.000000
0.964638 2.124852 0.000000
0.920604 2.127753 0.000000
0.874325 2.129891 0.000000
0.822543 2.134977 0.000000
0.756322 2.141958 0.000000
0.717426 2.132967 0.000000
0.712520 2.103928 0.000000
0.690945 2.085395 0.000000
0.664844 2.066873 0.000000
0.640201 2.046210 0.000000
0.610215 2.026410 0.000000
0.583843 2.004926 0.000000
0.555555 1.984181 0.000000
0.702802 1.905794 0.000000
0.697438 1.879870 0.000000
0.704122 1.852039 0.000000
0.702141 1.826112 0.000000
0.965729 1.745094 0.000000
0.981717 1.722130 0.000000
0.987194 1.701295 0.000000
0.986193 1.683118 0.000000
0.980966 1.666091 0.000000
0.978117 1.648355 0.000000
0.968950 1.630683 0.000000
0.968711 1.612172 0.000000
0.965658 1.594603 0.000000
0.146351 1.487859 0.000000
0.143196 1.448281 0.000000
0.148536 1.409005 0.000000
0.144416 1.368713 0.000000
0.139628 1.329115 0.000000
0.142406 1.288256 0.000000
0.144776 1.249270 0.000000
0.139486 1.206626 0.000000
0.140643 1.165928 0.000000
0.135822 1.122400 0.000000
0.136608 1.079376 0.000000
0.133474 1.036187 0.000000
0.133625 0.989898 0.000000
0.133701 0.944675 0.000000
0.133458 0.898364 0.000000
0.133925 0.852938 0.000000
0.126085 0.801162 0.000000
0.135550 0.753167 0.000000
0.131199 0.698028 0.000000
0.127488 0.644983 0.000000
0.128912 0.590443 0.000000
0.131207 0.536671 0.000000
0.127271 0.475445 0.000000
0.132626 0.420840 0.000000
0.212430 0.419381 0.000000
0.221416 0.365572 0.000000
0.225366 0.304826 0.000000
0.219075 0.235900 0.000000
0.249364 0.195041 0.000000
0.319940 0.193100 0.000000
0.384482 0.189053 0.000000
0.450492 0.189761 0.000000
0.513738 0.189864 0.000000
0.571931 0.188572 0.000000
0.627597 0.188476 0.000000
0.684039 0.189789 0.000000
0.734126 0.186550 0.000000
0.788027 0.188074 0.000000
0.834262 0.182759 0.000000
0.880172 0.179726 0.000000
0.929663 0.181598 0.000000
0.976117 0.182343 0.000000
1.018727 0.181666 0.000000
1.060759 0.178710 0.000000
1.104855 0.179211 0.000000
1.145270 0.177456 0.000000
1.186747 0.176850 0.000000
1.224894 0.176322 0.000000
1.264723 0.176176 0.000000
1.302992 0.171235 0.000000
1.341608 0.173665 0.000000
1.379509 0.173858 0.000000
1.416487 0.175693 0.000000
1.445819 0.128988 0.000000
1.483370 0.129752 0.000000
1.518464 0.123689 0.000000
1.556810 0.128184 0.000000
1.592841 0.124540 0.000000
1.629491 0.123993 0.000000
1.667836 0.128045 0.000000
1.704697 0.131589 0.000000
1.740776 0.168040 0.000000
1.776968 0.160389 0.000000
1.811478 0.166791 0.000000
1.847602 0.166401 0.000000
1.884826 0.165022 0.000000
1.920900 0.159620 0.000000
1.958943 0.157672 0.000000
1.994364 0.158720 0.000000
2.030663 0.160805 0.000000
2.068899 0.157823 0.000000
2.107470 0.155850 0.000000
2.148039 0.153577 0.000000
2.185710 0.159785 0.000000
2.225999 0.153063 0.000000
2.267394 0.150851 0.000000
2.309035 0.151353 0.000000
2.353787 0.147705 0.000000
2.396268 0.145184 0.000000
2.440284 0.147735 0.000000
2.487708 0.142766 0.000000
2.534682 0.144069 0.000000
2.583229 0.139369 0.000000
2.632075 0.142996 0.000000
2.682581 0.142727 0.000000
2.739710 0.137019 0.000000
