x y z
1.021956 -0.836372 0.000000
1.027420 -0.809803 0.000000
1.034973 -0.780836 0.000000
1.040963 -0.754644 0.000000
1.047213 -0.725834 0.000000
1.050802 -0.698156 0.000000
1.057498 -0.668514 0.000000
0.939860 -0.643817 0.000000
1.004875 -0.615373 0.000000
1.013991 -0.587317 0.000000
1.018124 -0.558271 0.000000
1.086169 -0.523543 0.000000
1.093587 -0.492547 0.000000
1.098736 -0.462521 0.000000
1.104033 -0.431260 0.000000
1.110783 -0.400307 0.000000
0.927375 -0.409989 0.000000
0.916354 -0.386556 0.000000
0.903411 -0.361222 0.000000
0.902551 -0.335614 0.000000
0.890578 -0.310805 0.000000
0.885171 -0.286110 0.000000
0.881762 -0.259073 0.000000
0.879662 -0.231506 0.000000
0.883131 -0.200654 0.000000
0.878909 -0.173048 0.000000
0.883088 -0.141196 0.000000
1.041722 0.079086 0.000000
0.910654 0.108320 0.000000
0.872550 0.122378 0.000000
0.831284 0.129780 0.000000
0.800097 0.141485 0.000000
1.334467 0.680936 0.000000
0.423257 -0.078915 0.000000
0.399043 -0.074916 0.000000
0.374815 -0.070148 0.000000
0.354464 -0.066547 0.000000
0.334942 -0.058830 0.000000
0.313136 -0.054367 0.000000
0.291228 -0.050092 0.000000
0.273573 -0.042107 0.000000
0.158748 -0.161254 0.000000
0.145627 -0.157304 0.000000
0.127156 -0.157050 0.000000
0.112963 -0.153710 0.000000
0.093834 -0.154782 0.000000
-0.126772 -0.479190 0.000000
0.139940 -0.021633 0.000000
0.122701 -0.015480 0.000000
0.107631 -0.006963 0.000000
0.086469 -0.012856 0.000000
0.056168 0.000000 0.000000
0.039445 0.004302 0.000000
0.022998 0.009149 0.000000
0.005468 0.011831 0.000000
-0.009311 0.016918 0.000000
-0.026230 0.021215 0.000000
-0.042688 0.020595 0.000000
-0.058097 0.025544 0.000000
-0.074628 0.030361 0.000000
-0.089478 0.035744 0.000000
0.053651 1.742325 0.000000
0.001287 1.757705 0.000000
-0.053831 1.759328 0.000000
-0.108648 1.780224 0.000000
-0.161806 1.791327 0.000000
-0.217415 1.812538 0.000000
-0.274344 1.818736 0.000000
-0.330187 1.823947 0.000000
-0.387089 1.829617 0.000000
-0.444920 1.849001 0.000000
-0.503332 1.863821 0.000000
-0.561215 1.872924 0.000000
-0.621890 1.881375 0.000000
-0.684302 1.899095 0.000000
-0.747363 1.920979 0.000000
-0.823823 1.995980 0.000000
-0.875413 1.947619 0.000000
-0.938426 1.950144 0.000000
-1.011739 1.979273 0.000000
-1.076460 1.981878 0.000000
-1.144837 1.985005 0.000000
-1.221938 2.012971 0.000000
-1.293918 2.023759 0.000000
-1.374043 2.045653 0.000000
-1.455593 2.069169 0.000000
-1.529322 2.064704 0.000000
-1.620471 2.097885 0.000000
-1.749262 2.193832 0.000000
-1.945988 2.402513 0.000000
-2.015988 2.365118 0.000000
-2.129995 2.400716 0.000000
-2.247067 2.435596 0.000000
-2.458740 2.445351 0.000000
-2.550908 2.426430 0.000000
-2.641320 2.402392 0.000000
-2.703834 2.339960 0.000000
-3.121332 2.698670 0.000000
-3.137379 2.572170 0.000000
-3.296333 2.600760 0.000000
