x y z
-3.023199 -3.710176 0.000000
-3.028967 -3.720796 0.000000
-3.032529 -3.729902 0.000000
-3.037101 -3.739257 0.000000
-3.049518 -3.731468 0.000000
-3.054371 -3.729440 0.000000
-3.105318 -3.770243 0.000000
-3.122714 -3.764627 0.000000
-3.154300 -3.750685 0.000000
-3.164458 -3.752730 0.000000
-3.198168 -3.747516 0.000000
-3.202099 -3.755827 0.000000
-3.203380 -3.754224 0.000000
-3.211307 -3.760485 0.000000
-3.216971 -3.759784 0.000000
-3.222387 -3.761408 0.000000
-3.229707 -3.767013 0.000000
-3.239375 -3.769321 0.000000
-3.246949 -3.766399 0.000000
-3.259940 -3.767412 0.000000
-3.781730 -3.522918 0.000000
-3.739374 -3.569278 0.000000
-3.754089 -3.583781 0.000000
-3.733618 -3.613180 0.000000
-3.732277 -3.634478 0.000000
-3.738618 -3.651973 0.000000
-3.752927 -3.667139 0.000000
-3.414576 -3.861394 0.000000
-7.013891 -3.903831 0.000000
-6.967518 -3.998718 0.000000
-4.523060 -3.992782 0.000000
-4.504244 -4.028427 0.000000
-4.506192 -4.063476 0.000000
-4.523398 -4.139824 0.000000
-4.541330 -4.179439 0.000000
-3.321125 -3.988350 0.000000
-3.314207 -3.996914 0.000000
-3.313341 -4.002118 0.000000
-3.308548 -4.011406 0.000000
-3.308158 -4.025541 0.000000
-3.310309 -4.033278 0.000000
-3.310498 -4.043175 0.000000
-3.313755 -4.052542 0.000000
-3.309692 -4.060482 0.000000
-3.314573 -4.070892 0.000000
-3.324421 -4.082934 0.000000
-5.542518 -5.569137 0.000000
-7.072318 -6.698790 0.000000
-7.066660 -6.842374 0.000000
-6.971734 -6.921027 0.000000
-3.896090 -4.634900 0.000000
-3.765650 -4.562886 0.000000
-3.754788 -4.585086 0.000000
-3.763738 -4.628434 0.000000
-3.889669 -4.784492 0.000000
-3.607746 -4.539958 0.000000
-3.577001 -4.538863 0.000000
-3.560503 -4.550498 0.000000
-3.542423 -4.558939 0.000000
-3.525869 -4.571636 0.000000
-3.503862 -4.576838 0.000000
-3.480804 -4.578182 0.000000
-3.468347 -4.595024 0.000000
-3.451601 -4.606919 0.000000
-3.437147 -4.622386 0.000000
-3.426806 -4.643009 0.000000
-3.419713 -4.673586 0.000000
-3.420593 -4.718922 0.000000
-3.436678 -4.800853 0.000000
-4.154149 -6.716909 0.000000
-4.016173 -6.564168 0.000000
-3.917182 -6.487603 0.000000
-3.855301 -6.512077 0.000000
-3.767830 -6.455887 0.000000
-3.806329 -6.828455 0.000000
-3.813408 -7.147311 0.000000
-3.748654 -7.234296 0.000000
-3.703438 -7.414288 0.000000
-3.959373 -9.343804 0.000000
-3.828341 -9.373537 0.000000
-3.661325 -9.128866 0.000000
-3.327922 -8.126380 0.000000
-3.115328 -7.934230 0.000000
-3.017326 -7.687237 0.000000
-2.927320 -7.609959 0.000000
-2.837192 -7.632767 0.000000
-2.750737 -7.628900 0.000000
-2.660260 -7.633939 0.000000
-2.569169 -7.621388 0.000000
-2.478587 -7.627343 0.000000
-2.591260 -6.031765 0.000000
-2.539220 -6.028685 0.000000
-2.464387 -5.902606 0.000000
-2.467287 -5.713494 0.000000
-2.464788 -5.563754 0.000000
-2.441939 -5.505913 0.000000
-2.409511 -5.471452 0.000000
-2.411361 -5.359368 0.000000
-2.412376 -5.260782 0.000000
-2.410805 -5.173665 0.000000
-2.410765 -5.098183 0.000000
-2.410761 -5.025138 0.000000
-2.411004 -4.960369 0.000000
-2.411897 -4.899984 0.000000
-2.412632 -4.843003 0.000000
-2.413384 -4.794110 0.000000
-2.414272 -4.746953 0.000000
-2.414784 -4.703969 0.000000
-2.414499 -4.661765 0.000000
-2.417772 -4.621590 0.000000
-2.417986 -4.586943 0.000000
-2.417416 -4.551483 0.000000
-2.417735 -4.519777 0.000000
-2.418854 -4.489520 0.000000
-2.418252 -4.463252 0.000000
-2.421180 -4.433476 0.000000
-2.419975 -4.408078 0.000000
-2.420448 -4.380740 0.000000
-2.420349 -4.357064 0.000000
-2.421723 -4.334183 0.000000
-2.421148 -4.313005 0.000000
-2.421670 -4.292703 0.000000
-2.421307 -4.270224 0.000000
-2.421932 -4.251361 0.000000
-2.421329 -4.230538 0.000000
-2.422223 -4.212595 0.000000
-2.420362 -4.194458 0.000000
-2.419868 -4.176444 0.000000
-2.419509 -4.158948 0.000000
-2.422116 -4.143057 0.000000
-2.422634 -4.125022 0.000000
-2.422046 -4.110091 0.000000
-2.421921 -4.093080 0.000000
-2.422571 -4.075416 0.000000
-2.421825 -4.060495 0.000000
-2.422298 -4.045946 0.000000
-2.420823 -4.030302 0.000000
-2.421966 -4.016944 0.000000
-2.420848 -4.000462 0.000000
-2.422139 -3.985388 0.000000
-2.423332 -3.970651 0.000000
-2.422661 -3.956377 0.000000
-2.422325 -3.941948 0.000000
-2.421123 -3.928391 0.000000
-2.421986 -3.915092 0.000000
-2.422163 -3.899415 0.000000
-2.420911 -3.886607 0.000000
-2.422304 -3.871598 0.000000
-2.422332 -3.856507 0.000000
-2.421699 -3.841775 0.000000
-2.422898 -3.829307 0.000000
-2.421906 -3.814680 0.000000
-2.421942 -3.799079 0.000000
-2.421244 -3.784030 0.000000
-2.421819 -3.770618 0.000000
-2.421202 -3.754910 0.000000
-2.421965 -3.739359 0.000000
-2.420205 -3.724805 0.000000
-2.422608 -3.708119 0.000000
-2.421731 -3.692998 0.000000
-2.420770 -3.677562 0.000000
-2.421066 -3.661197 0.000000
-2.421177 -3.643667 0.000000
-2.421418 -3.626799 0.000000
-2.420786 -3.609130 0.000000
-2.420220 -3.591044 0.000000
-2.420529 -3.573172 0.000000
-2.418959 -3.553298 0.000000
-2.420799 -3.536245 0.000000
-2.419442 -3.516483 0.000000
-2.419633 -3.496410 0.000000
-2.419845 -3.473977 0.000000
-2.419603 -3.451652 0.000000
-2.417691 -3.428482 0.000000
-2.416937 -3.404508 0.000000
-2.418684 -3.380582 0.000000
-2.420484 -3.355436 0.000000
-2.418551 -3.328725 0.000000
-2.420224 -3.301450 0.000000
-2.417391 -3.272224 0.000000
-2.416511 -3.240051 0.000000
-2.418168 -3.208649 0.000000
-2.417681 -3.174496 0.000000
-2.415587 -3.137131 0.000000
-2.416349 -3.097601 0.000000
-2.415023 -3.055360 0.000000
-2.414925 -3.012018 0.000000
-2.413161 -2.962963 0.000000
-2.412865 -2.911328 0.000000
-2.410915 -2.857882 0.000000
-2.412158 -2.796727 0.000000
-2.411244 -2.731035 0.000000
-2.412509 -2.664448 0.000000
-2.409665 -2.584248 0.000000
-2.410551 -2.499066 0.000000
-2.413326 -2.407492 0.000000
-2.422282 -2.323571 0.000000
-2.888278 -3.486940 0.000000
-2.903419 -3.497668 0.000000
-2.954523 -3.624878 0.000000
-2.965722 -3.634636 0.000000
-2.974925 -3.641975 0.000000
-2.980604 -3.649499 0.000000
-2.990499 -3.667715 0.000000
-3.004743 -3.685461 0.000000
-3.010187 -3.691284 0.000000
-3.015120 -3.695488 0.000000
-3.020066 -3.700310 0.000000
-3.024496 -3.709737 0.000000
