x y z
2.125050 1.824891 0.000000
2.125523 1.847854 0.000000
2.125417 1.872936 0.000000
2.123822 1.895112 0.000000
2.125455 1.918986 0.000000
2.125103 1.942223 0.000000
2.126360 1.966041 0.000000
2.125534 1.990733 0.000000
2.124556 2.016480 0.000000
2.125004 2.041342 0.000000
2.126935 2.066263 0.000000
2.127975 2.092788 0.000000
2.126268 2.118483 0.000000
2.128179 2.144335 0.000000
2.129043 2.171839 0.000000
2.131226 2.201568 0.000000
2.133716 2.230372 0.000000
2.137583 2.261734 0.000000
2.135398 2.291345 0.000000
2.139675 2.324931 0.000000
2.136517 2.353181 0.000000
2.138084 2.389031 0.000000
2.138491 2.423094 0.000000
2.139797 2.459448 0.000000
2.142850 2.496523 0.000000
2.143422 2.535240 0.000000
2.145742 2.576202 0.000000
2.147029 2.619500 0.000000
2.149984 2.666471 0.000000
2.152491 2.713860 0.000000
2.153257 2.761880 0.000000
2.156588 2.819357 0.000000
2.150781 2.866026 0.000000
2.115647 2.881027 0.000000
2.094132 2.912134 0.000000
2.070922 2.941213 0.000000
2.045059 2.968026 0.000000
2.021580 3.000573 0.000000
1.996544 3.031212 0.000000
1.969417 3.057939 0.000000
1.943647 3.087170 0.000000
1.917820 3.118540 0.000000
1.888932 3.149295 0.000000
1.864746 3.185856 0.000000
1.839096 3.224001 0.000000
1.812569 3.262032 0.000000
1.781889 3.296365 0.000000
1.749884 3.328765 0.000000
1.717531 3.367841 0.000000
1.686845 3.409210 0.000000
1.647893 3.429263 0.000000
1.605120 3.433464 0.000000
1.559282 3.426512 0.000000
1.515680 3.426924 0.000000
1.472891 3.429908 0.000000
1.431444 3.434397 0.000000
1.388013 3.429024 0.000000
1.344631 3.428842 0.000000
1.303032 3.431946 0.000000
1.261293 3.432019 0.000000
1.219637 3.432804 0.000000
1.178469 3.430062 0.000000
1.136378 3.430525 0.000000
1.095376 3.434007 0.000000
1.052680 3.432340 0.000000
1.009107 3.437536 0.000000
0.968038 3.434420 0.000000
0.925533 3.433606 0.000000
0.881516 3.429158 0.000000
0.838074 3.434410 0.000000
0.794142 3.436720 0.000000
0.751620 3.431357 0.000000
0.704050 3.435414 0.000000
0.660417 3.430622 0.000000
0.612364 3.437209 0.000000
0.566466 3.433605 0.000000
0.515162 3.437694 0.000000
0.469584 3.433188 0.000000
0.427021 3.418190 0.000000
0.412843 3.337630 0.000000
0.364240 3.338887 0.000000
0.311950 3.342377 0.000000
0.263378 3.332891 0.000000
0.209593 3.335850 0.000000
0.208135 3.252286 0.000000
0.204141 3.177629 0.000000
0.201520 3.106198 0.000000
0.203965 3.034366 0.000000
0.202526 2.970539 0.000000
0.199755 2.912698 0.000000
