x y z
-2.385378 -3.889431 0.000000
-2.397039 -3.883530 0.000000
-2.396223 -3.874601 0.000000
-2.388034 -3.860738 0.000000
-2.411139 -3.838247 0.000000
-2.417353 -3.830642 0.000000
-2.420192 -3.824177 0.000000
-2.417563 -3.815597 0.000000
-2.358094 -3.762082 0.000000
-2.382328 -3.762424 0.000000
-2.330537 -3.700366 0.000000
-2.331452 -3.687570 0.000000
-2.330839 -3.675788 0.000000
-2.331566 -3.661873 0.000000
-2.332312 -3.645809 0.000000
-2.334114 -3.631419 0.000000
-2.351807 -3.630475 0.000000
-2.367088 -3.623819 0.000000
-2.373242 -3.613835 0.000000
-2.375868 -3.599198 0.000000
-2.328620 -3.506730 0.000000
-2.443519 -3.596359 0.000000
-2.458434 -3.596239 0.000000
-2.468667 -3.591909 0.000000
-2.479084 -3.583952 0.000000
-2.484283 -3.575945 0.000000
-2.487447 -3.562849 0.000000
-1.594689 -2.184979 0.000000
-1.618644 -2.127629 0.000000
-1.622713 -2.034633 0.000000
-1.628799 -1.938972 0.000000
-1.636886 -1.839051 0.000000
-1.643285 -1.728476 0.000000
-1.647151 -1.600543 0.000000
-2.477121 -3.266198 0.000000
-2.509775 -3.299156 0.000000
-2.542522 -3.332343 0.000000
-2.559610 -3.336280 0.000000
-2.575501 -3.336504 0.000000
-2.591558 -3.330311 0.000000
-2.675766 -3.568193 0.000000
-2.689176 -3.576884 0.000000
-2.702988 -3.595742 0.000000
-2.715161 -3.609081 0.000000
-2.722674 -3.602864 0.000000
-2.727815 -3.594544 0.000000
-2.736528 -3.582052 0.000000
-2.745664 -3.579298 0.000000
-2.751333 -3.571849 0.000000
-2.769600 -3.172761 0.000000
-2.809289 -3.151406 0.000000
-2.826092 -3.170403 0.000000
-2.847762 -3.144342 0.000000
-2.865690 -3.145208 0.000000
-2.883384 -3.163890 0.000000
-2.906502 -3.143178 0.000000
-2.923557 -3.154598 0.000000
-2.941622 -3.164911 0.000000
-2.949131 -3.224386 0.000000
-2.968628 -3.218536 0.000000
-2.963930 -3.303482 0.000000
-2.992031 -3.321222 0.000000
-3.011693 -3.316679 0.000000
-3.035434 -3.298559 0.000000
-3.074346 -3.249771 0.000000
-2.888583 -3.729029 0.000000
-2.890357 -3.734713 0.000000
-2.897461 -3.737950 0.000000
-2.902105 -3.741008 0.000000
-2.911010 -3.743581 0.000000
-2.921050 -3.744246 0.000000
-2.927066 -3.743905 0.000000
-2.935857 -3.744694 0.000000
-2.943359 -3.741924 0.000000
-2.949192 -3.745821 0.000000
-2.960938 -3.742114 0.000000
-2.971539 -3.737087 0.000000
-3.459186 -3.328577 0.000000
-3.452059 -3.364984 0.000000
-3.444213 -3.401045 0.000000
-3.446371 -3.425264 0.000000
-3.423977 -3.468838 0.000000
-3.421948 -3.494103 0.000000
-3.422087 -3.520370 0.000000
-3.423380 -3.542530 0.000000
-3.429504 -3.560547 0.000000
-3.433999 -3.577579 0.000000
-3.451843 -3.590747 0.000000
-3.469248 -3.601340 0.000000
-3.486794 -3.613122 0.000000
-3.506882 -3.626760 0.000000
-3.527919 -3.638788 0.000000
-3.550431 -3.651010 0.000000
-3.578679 -3.660540 0.000000
-3.600852 -3.673656 0.000000
-3.632432 -3.686520 0.000000
-3.719274 -3.683506 0.000000
-2.870984 -4.019537 0.000000
-2.868917 -4.025757 0.000000
-1.600193 -2.182848 0.000000
-1.614945 -2.112839 0.000000
-1.620003 -2.021706 0.000000
-1.629769 -1.927819 0.000000
-2.453107 -3.294324 0.000000
-2.469082 -3.284042 0.000000
-2.489568 -3.285943 0.000000
-2.523542 -3.324133 0.000000
-2.544619 -3.333459 0.000000
-2.561671 -3.336921 0.000000
-2.578203 -3.335170 0.000000
-2.592609 -3.329505 0.000000
-2.674481 -3.555417 0.000000
-2.689126 -3.570529 0.000000
-2.703319 -3.592901 0.000000
-2.716313 -3.604136 0.000000
-2.723447 -3.605545 0.000000
-2.729967 -3.597861 0.000000
-2.736631 -3.577535 0.000000
-2.746944 -3.575743 0.000000
-2.752072 -3.568329 0.000000
-2.773297 -3.166558 0.000000
-2.791901 -3.143796 0.000000
-2.811355 -3.142766 0.000000
-2.850750 -3.163033 0.000000
-2.871409 -3.140924 0.000000
-2.889489 -3.144857 0.000000
