x y z
-2.387483 -1.315447 0.000000
-2.396581 -1.317521 0.000000
-2.405359 -1.320858 0.000000
-2.414908 -1.324263 0.000000
-2.424931 -1.328934 0.000000
-2.432743 -1.338140 0.000000
-2.445273 -1.351019 0.000000
-2.509101 -1.996741 0.000000
-2.536468 -1.998285 0.000000
-2.564116 -2.004900 0.000000
-2.590485 -2.005739 0.000000
-2.620315 -2.014474 0.000000
-2.646982 -2.019307 0.000000
-2.674993 -2.022480 0.000000
-2.706243 -2.029078 0.000000
-2.736760 -2.036167 0.000000
-2.768176 -2.040461 0.000000
-2.797904 -2.046676 0.000000
-2.829204 -2.048515 0.000000
-2.864328 -2.056700 0.000000
-2.898414 -2.062354 0.000000
-2.934056 -2.067643 0.000000
-2.969840 -2.072596 0.000000
-3.017642 -2.097556 0.000000
-3.074850 -2.139312 0.000000
-3.080649 -2.080100 0.000000
-3.089328 -2.030372 0.000000
-3.095802 -1.980740 0.000000
-3.101887 -1.933384 0.000000
-3.109378 -1.888927 0.000000
-2.871458 -1.508614 0.000000
-2.859172 -1.462506 0.000000
-2.850439 -1.425467 0.000000
-2.865324 -1.418680 0.000000
-2.857118 -1.384697 0.000000
-2.868612 -1.374525 0.000000
-2.878661 -1.363150 0.000000
-2.886466 -1.348863 0.000000
-2.891893 -1.330583 0.000000
-2.896744 -1.315800 0.000000
-2.904237 -1.301527 0.000000
-2.910755 -1.289568 0.000000
-2.923162 -1.277818 0.000000
-2.936058 -1.269940 0.000000
-2.947413 -1.258769 0.000000
-2.965879 -1.252975 0.000000
-2.985008 -1.246859 0.000000
-2.894167 -1.176289 0.000000
-2.902048 -1.163975 0.000000
-2.910189 -1.153746 0.000000
-2.920927 -1.144305 0.000000
-2.933390 -1.134431 0.000000
-2.949156 -1.126151 0.000000
-2.965539 -1.118951 0.000000
-2.988465 -1.113421 0.000000
-3.217209 -1.133517 0.000000
-3.219660 -1.111496 0.000000
-3.222322 -1.093036 0.000000
-3.224540 -1.073198 0.000000
-3.229050 -1.053322 0.000000
-3.228626 -1.032531 0.000000
-3.234383 -1.012504 0.000000
-3.236996 -0.994055 0.000000
-3.241604 -0.972313 0.000000
-3.245308 -0.953264 0.000000
-3.248066 -0.933166 0.000000
-3.249558 -0.912066 0.000000
-3.255330 -0.892231 0.000000
-3.258242 -0.870459 0.000000
-3.262863 -0.851272 0.000000
-3.264358 -0.828460 0.000000
-3.268957 -0.808467 0.000000
-3.274277 -0.786343 0.000000
-3.287982 -0.762840 0.000000
-3.286029 -0.740215 0.000000
-3.303901 -0.714741 0.000000
-3.312179 -0.688161 0.000000
-3.321759 -0.662769 0.000000
-3.338386 -0.633981 0.000000
-3.349921 -0.604332 0.000000
-3.347338 -0.580716 0.000000
-3.340017 -0.555531 0.000000
-3.327393 -0.534888 0.000000
-2.810398 -0.724303 0.000000
-3.335034 -0.390910 0.000000
-3.337758 -0.357122 0.000000
-3.345952 -0.322406 0.000000
-3.349190 -0.286337 0.000000
-3.357148 -0.247285 0.000000
-3.365143 -0.206021 0.000000
-3.373409 -0.162154 0.000000
-2.655868 -0.698856 0.000000
-2.645689 -0.698110 0.000000
-2.645738 -0.684978 0.000000
-2.634091 -0.686481 0.000000
-2.623606 -0.687884 0.000000
-2.612085 -0.687768 0.000000
-2.598818 -0.689820 0.000000
-2.589671 -0.694415 0.000000
-2.581117 -0.694720 0.000000
-2.571313 -0.695342 0.000000
-2.559675 -0.695482 0.000000
-2.548990 -0.702463 0.000000
-2.530988 -0.706365 0.000000
-2.524836 -0.707713 0.000000
-2.511496 -0.718135 0.000000
-2.498699 -0.736529 0.000000
-3.535073 3.267756 0.000000
-3.424263 3.267700 0.000000
-3.593235 4.540347 0.000000
-3.311444 4.536948 0.000000
-2.919853 2.743364 0.000000
-2.831228 2.770268 0.000000
-2.736360 2.769374 0.000000
-2.649443 2.809432 0.000000
-2.409041 -0.645972 0.000000
-0.839051 0.425532 0.000000
-0.879057 0.327563 0.000000
-0.894743 0.250801 0.000000
-0.855592 0.221269 0.000000
-0.797393 0.202216 0.000000
-0.751260 0.174296 0.000000
-0.668445 0.168004 0.000000
-0.595153 0.152931 0.000000
-0.537724 0.125888 0.000000
-0.747352 -0.442674 0.000000
-0.832510 -0.511547 0.000000
-0.836067 -0.554904 0.000000
-0.839749 -0.596692 0.000000
-0.836324 -0.636993 0.000000
-0.830394 -0.677137 0.000000
-0.815755 -0.716533 0.000000
-0.788866 -0.753266 0.000000
-0.749162 -0.789555 0.000000
-2.291168 -0.945458 0.000000
-2.295746 -0.948310 0.000000
-2.296257 -0.955256 0.000000
-2.298181 -0.958729 0.000000
-2.299215 -0.962303 0.000000
-2.299372 -0.960735 0.000000
-2.300342 -0.963788 0.000000
-2.308488 -0.988253 0.000000
-2.308993 -0.991582 0.000000
-2.311483 -0.997338 0.000000
-2.184965 -1.055446 0.000000
-2.386794 -1.056454 0.000000
-2.389455 -1.058841 0.000000
-2.392308 -1.060940 0.000000
-2.397630 -1.064037 0.000000
-2.383942 -1.314062 0.000000
