x y z
1.018242 -0.836999 0.000000
1.025659 -0.811045 0.000000
1.030724 -0.782296 0.000000
1.035455 -0.756492 0.000000
1.041996 -0.727856 0.000000
1.044379 -0.699267 0.000000
1.051872 -0.671218 0.000000
1.062795 -0.644462 0.000000
1.069273 -0.614981 0.000000
1.003484 -0.590057 0.000000
1.012382 -0.560529 0.000000
1.018955 -0.533830 0.000000
1.087052 -0.496077 0.000000
1.091116 -0.465416 0.000000
1.096739 -0.434418 0.000000
1.102437 -0.403269 0.000000
1.108154 -0.373871 0.000000
0.927684 -0.384569 0.000000
0.914441 -0.361733 0.000000
0.893729 -0.341159 0.000000
0.893135 -0.313169 0.000000
0.893579 -0.285430 0.000000
0.884464 -0.262283 0.000000
0.881635 -0.233429 0.000000
0.878349 -0.208274 0.000000
0.876158 -0.178312 0.000000
0.867511 -0.154279 0.000000
0.879287 -0.118097 0.000000
1.210536 0.125357 0.000000
1.020542 0.096398 0.000000
0.941410 0.121362 0.000000
0.900030 0.130398 0.000000
0.859078 0.140976 0.000000
0.819155 0.149374 0.000000
0.786749 0.159714 0.000000
0.415434 -0.062226 0.000000
0.388598 -0.059810 0.000000
0.366614 -0.055422 0.000000
0.350259 -0.046907 0.000000
0.326118 -0.042092 0.000000
0.294399 -0.051148 0.000000
0.282974 -0.035684 0.000000
0.153215 -0.148698 0.000000
0.137489 -0.144946 0.000000
0.122757 -0.140763 0.000000
0.108985 -0.136380 0.000000
0.092599 -0.135466 0.000000
0.129175 -0.010789 0.000000
0.116458 0.002361 0.000000
0.100793 0.004875 0.000000
0.081361 0.003526 0.000000
0.064642 0.009825 0.000000
0.049547 0.013434 0.000000
0.032440 0.019033 0.000000
0.016212 0.022036 0.000000
0.000450 0.026876 0.000000
-0.015490 0.030348 0.000000
-0.032007 0.034638 0.000000
-0.051043 0.032702 0.000000
-0.066701 0.036495 0.000000
-0.081349 0.044573 0.000000
-0.098484 0.045374 0.000000
0.030130 1.756225 0.000000
-0.021986 1.776086 0.000000
-0.077342 1.775440 0.000000
-0.131572 1.782522 0.000000
-0.186528 1.801915 0.000000
-0.241612 1.818581 0.000000
-0.297722 1.821504 0.000000
-0.352413 1.832763 0.000000
-0.409508 1.840177 0.000000
-0.468277 1.859480 0.000000
-0.527155 1.876247 0.000000
-0.584090 1.881942 0.000000
-0.644459 1.887386 0.000000
-0.703670 1.890687 0.000000
-0.768946 1.923353 0.000000
-0.844751 1.985935 0.000000
-0.897356 1.950151 0.000000
-0.963367 1.954678 0.000000
-1.037254 1.989301 0.000000
-1.103799 1.993902 0.000000
-1.169395 1.997140 0.000000
-1.247407 2.027972 0.000000
-1.320371 2.035418 0.000000
-1.396687 2.048842 0.000000
-1.480297 2.069752 0.000000
-1.551869 2.067883 0.000000
-1.647652 2.103177 0.000000
-1.840103 2.318079 0.000000
-2.044892 2.367078 0.000000
-2.159321 2.401653 0.000000
-2.254514 2.403465 0.000000
-2.477604 2.433214 0.000000
-2.566862 2.408487 0.000000
-2.661822 2.390203 0.000000
-2.726474 2.330638 0.000000
-3.125242 2.661397 0.000000
-3.178474 2.574409 0.000000
-3.323237 2.584016 0.000000
-3.326577 2.446006 0.000000
-3.345720 2.325829 0.000000
-3.384273 2.231006 0.000000
-3.383813 2.102353 0.000000
-3.393744 1.987452 0.000000
-3.423391 1.893680 0.000000
-3.454588 1.800285 0.000000
-3.484929 1.710808 0.000000
-3.506573 1.615438 0.000000
-3.499012 1.503851 0.000000
-3.528949 1.417174 0.000000
-3.562823 1.336490 0.000000
-3.593115 1.253172 0.000000
-3.589475 1.153310 0.000000
-3.613063 1.070083 0.000000
-3.612179 0.974570 0.000000
-3.627373 0.889724 0.000000
-3.652424 0.805775 0.000000
-3.674731 0.727827 0.000000
-3.697302 0.647127 0.000000
-3.691972 0.555743 0.000000
-3.717675 0.477439 0.000000
-3.736776 0.398166 0.000000
-3.727905 0.310143 0.000000
-3.775656 0.239379 0.000000
-3.790597 0.159558 0.000000
-3.804971 0.079789 0.000000
-3.797672 -0.003993 0.000000
-3.829524 -0.081194 0.000000
-3.844506 -0.162686 0.000000
-4.216978 -0.196538 0.000000
-2.214675 -0.542600 0.000000
-2.223143 -0.587465 0.000000
-2.223823 -0.631726 0.000000
-2.247021 -0.675304 0.000000
-2.256753 -0.720214 0.000000
-2.260509 -0.764798 0.000000
-2.266247 -0.810301 0.000000
-2.263851 -0.857187 0.000000
-2.282742 -0.904150 0.000000
-2.291049 -0.951375 0.000000
-2.309480 -1.000183 0.000000
-2.314140 -1.049500 0.000000
-2.323590 -1.097386 0.000000
-2.336685 -1.149895 0.000000
-2.350733 -1.201296 0.000000
-2.349937 -1.251152 0.000000
-2.361322 -1.306353 0.000000
-2.371839 -1.360596 0.000000
-2.383002 -1.418240 0.000000
-2.396071 -1.474621 0.000000
-2.424493 -1.539765 0.000000
-2.457282 -1.610504 0.000000
-3.962566 -2.517005 0.000000
-3.969747 -2.625594 0.000000
-3.972182 -2.731803 0.000000
-4.006982 -2.862009 0.000000
-4.099176 -3.029025 0.000000
-4.073273 -3.131119 0.000000
-4.005147 -3.208311 0.000000
-3.560782 -3.024263 0.000000
-3.486294 -3.082661 0.000000
-3.425934 -3.150489 0.000000
-3.330202 -3.188057 0.000000
-3.256072 -3.242283 0.000000
-3.246529 -3.352148 0.000000
-3.169618 -3.400905 0.000000
-3.070506 -3.431368 0.000000
-2.881293 -3.364817 0.000000
-2.856177 -3.460970 0.000000
-4.251632 -5.106306 0.000000
-4.100757 -5.134323 0.000000
-3.956241 -5.164581 0.000000
-3.789446 -5.166989 0.000000
-3.631017 -5.167698 0.000000
-3.517754 -5.226022 0.000000
-3.382104 -5.250494 0.000000
-3.271002 -5.304793 0.000000
-3.126245 -5.307055 0.000000
-3.023593 -5.373210 0.000000
-2.865244 -5.341645 0.000000
-2.742781 -5.363690 0.000000
-2.630423 -5.401761 0.000000
-2.509376 -5.426703 0.000000
-2.385960 -5.436266 0.000000
-2.281164 -5.488070 0.000000
-2.160761 -5.494297 0.000000
-2.053635 -5.538795 0.000000
-1.935441 -5.552373 0.000000
-1.802869 -5.527140 0.000000
-1.693536 -5.563843 0.000000
-0.353429 -1.290121 0.000000
-0.325927 -1.243153 0.000000
-0.319475 -1.264363 0.000000
-0.297783 -1.229522 0.000000
-0.283446 -1.219009 0.000000
-0.271307 -1.213499 0.000000
-0.259400 -1.209222 0.000000
-0.246146 -1.207760 0.000000
-0.234477 -1.208679 0.000000
-0.223353 -1.210336 0.000000
-0.211394 -1.214491 0.000000
-0.201287 -1.222206 0.000000
-0.189095 -1.227368 0.000000
-0.177441 -1.237579 0.000000
-0.162923 -1.244271 0.000000
-0.147886 -1.282309 0.000000
0.095299 -2.197751 0.000000
0.084245 -1.980472 0.000000
0.097350 -1.907150 0.000000
0.127130 -1.909906 0.000000
0.156074 -1.910712 0.000000
0.188112 -1.916194 0.000000
0.627794 -2.820600 0.000000
0.646925 -2.734096 0.000000
