x y z
1.776305 0.210761 0.000000
1.776481 0.245757 0.000000
1.776706 0.282528 0.000000
1.777348 0.316796 0.000000
1.778492 0.353316 0.000000
1.776432 0.387528 0.000000
1.778775 0.423252 0.000000
1.778488 0.458625 0.000000
1.776298 0.494319 0.000000
1.782248 0.529988 0.000000
2.120356 0.599905 0.000000
2.118116 0.643633 0.000000
2.116520 0.687655 0.000000
2.122482 0.734382 0.000000
1.609446 0.674207 0.000000
1.607809 0.707725 0.000000
1.611678 0.741615 0.000000
1.608062 0.774288 0.000000
1.597052 0.804481 0.000000
1.602884 0.839420 0.000000
1.601725 0.874523 0.000000
1.611893 0.914089 0.000000
2.130336 1.220318 0.000000
2.133451 1.274175 0.000000
2.130938 1.327766 0.000000
2.136592 1.388424 0.000000
2.134194 1.445039 0.000000
2.135811 1.505686 0.000000
2.139171 1.568739 0.000000
2.137979 1.632289 0.000000
2.146932 1.706888 0.000000
2.136309 1.767388 0.000000
2.134287 1.836627 0.000000
2.139672 1.914015 0.000000
2.135239 1.988794 0.000000
2.140373 2.072089 0.000000
2.142550 2.160402 0.000000
2.150902 2.256652 0.000000
2.150716 2.347941 0.000000
2.165693 2.465906 0.000000
2.168707 2.574825 0.000000
2.169922 2.686953 0.000000
2.182579 2.824126 0.000000
2.123099 2.869078 0.000000
2.078403 2.937440 0.000000
2.026691 2.996224 0.000000
1.967905 3.048679 0.000000
1.923725 3.122801 0.000000
1.874477 3.197344 0.000000
1.829169 3.282280 0.000000
1.769564 3.341715 0.000000
1.711420 3.409888 0.000000
1.625715 3.417525 0.000000
1.542578 3.425713 0.000000
1.458155 3.432254 0.000000
1.369410 3.419612 0.000000
1.290224 3.434095 0.000000
1.208531 3.434728 0.000000
1.128092 3.432493 0.000000
1.047686 3.433160 0.000000
0.970335 3.436034 0.000000
0.893477 3.447827 0.000000
0.813323 3.426032 0.000000
0.735417 3.428764 0.000000
0.663064 3.441515 0.000000
0.585257 3.430108 0.000000
0.511924 3.456586 0.000000
0.430780 3.354409 0.000000
0.357422 3.352148 0.000000
0.284909 3.353087 0.000000
0.224407 3.041213 0.000000
0.204574 2.327351 0.000000
0.174630 2.121311 0.000000
0.186248 1.648659 0.000000
0.179766 1.459392 0.000000
0.177836 1.314560 0.000000
0.174677 1.206936 0.000000
0.172129 1.120263 0.000000
0.170687 1.049237 0.000000
0.169945 0.990344 0.000000
0.167926 0.942603 0.000000
0.165830 0.896407 0.000000
0.166035 0.860222 0.000000
0.163522 0.826532 0.000000
0.165139 0.798938 0.000000
0.162949 0.772784 0.000000
0.162221 0.747772 0.000000
0.163598 0.727875 0.000000
0.162237 0.707516 0.000000
0.160550 0.689176 0.000000
0.162950 0.672954 0.000000
0.163125 0.657998 0.000000
0.161599 0.642674 0.000000
0.163503 0.629745 0.000000
0.162162 0.615762 0.000000
0.162316 0.603379 0.000000
0.159710 0.589987 0.000000
0.160946 0.580077 0.000000
0.162776 0.571721 0.000000
0.163097 0.563383 0.000000
0.164496 0.554944 0.000000
0.161770 0.542536 0.000000
0.160800 0.532165 0.000000
0.163033 0.528339 0.000000
0.163245 0.520452 0.000000
0.163598 0.513408 0.000000
0.162369 0.504747 0.000000
0.163164 0.498279 0.000000
0.163459 0.492193 0.000000
0.163710 0.486286 0.000000
0.164135 0.480451 0.000000
0.164498 0.474783 0.000000
0.165025 0.469184 0.000000
0.164545 0.464114 0.000000
0.165869 0.458538 0.000000
0.165189 0.453689 0.000000
0.165345 0.448602 0.000000
0.165734 0.443967 0.000000
0.165816 0.438606 0.000000
0.165844 0.434914 0.000000
0.165827 0.428988 0.000000
0.165888 0.424205 0.000000
0.165822 0.419470 0.000000
0.165874 0.414748 0.000000
0.166296 0.410077 0.000000
0.165833 0.405419 0.000000
0.165486 0.400796 0.000000
0.165504 0.396060 0.000000
0.165887 0.391440 0.000000
0.165388 0.386719 0.000000
0.165501 0.382066 0.000000
0.164765 0.377038 0.000000
0.165125 0.372308 0.000000
0.164994 0.366685 0.000000
0.164725 0.362581 0.000000
0.164958 0.357729 0.000000
0.164374 0.353568 0.000000
0.165061 0.347852 0.000000
0.164476 0.342603 0.000000
0.164748 0.337525 0.000000
0.164450 0.332177 0.000000
0.164535 0.326865 0.000000
0.164074 0.321232 0.000000
0.162961 0.318697 0.000000
0.164075 0.310035 0.000000
0.163343 0.305208 0.000000
0.163872 0.298133 0.000000
0.163852 0.291917 0.000000
0.160684 0.290410 0.000000
0.163599 0.279160 0.000000
0.160107 0.278141 0.000000
0.163200 0.265310 0.000000
0.160910 0.262048 0.000000
0.158544 0.257625 0.000000
0.160297 0.247801 0.000000
0.157515 0.242849 0.000000
0.156908 0.234489 0.000000
0.156732 0.225851 0.000000
0.160305 0.213809 0.000000
0.156436 0.208453 0.000000
0.155654 0.197515 0.000000
0.179019 0.200671 0.000000
0.186562 0.201418 0.000000
0.197299 0.199746 0.000000
0.207968 0.198871 0.000000
0.211890 0.200969 0.000000
0.221661 0.199686 0.000000
0.228076 0.200289 0.000000
0.237809 0.198764 0.000000
0.247027 0.197925 0.000000
0.253622 0.198455 0.000000
0.258221 0.198984 0.000000
0.261850 0.199761 0.000000
0.271531 0.198256 0.000000
0.277560 0.199088 0.000000
0.282697 0.199052 0.000000
0.288824 0.199332 0.000000
0.294179 0.199224 0.000000
0.299554 0.199242 0.000000
0.304831 0.199161 0.000000
0.310079 0.199217 0.000000
0.315354 0.199143 0.000000
0.320633 0.199710 0.000000
0.325627 0.199185 0.000000
0.328575 0.198786 0.000000
0.335598 0.198764 0.000000
0.340661 0.199611 0.000000
0.345573 0.198337 0.000000
0.350577 0.199184 0.000000
0.355543 0.198655 0.000000
0.360541 0.197999 0.000000
0.365559 0.197719 0.000000
0.370499 0.198057 0.000000
0.375536 0.198026 0.000000
0.380618 0.197873 0.000000
0.385836 0.197108 0.000000
0.390974 0.197216 0.000000
0.396228 0.196966 0.000000
0.401351 0.196815 0.000000
0.406859 0.196110 0.000000
0.412156 0.196517 0.000000
0.417763 0.196108 0.000000
0.423507 0.195618 0.000000
0.429172 0.195502 0.000000
0.434847 0.195798 0.000000
0.440889 0.195306 0.000000
0.441499 0.192307 0.000000
0.453296 0.194908 0.000000
0.459709 0.194764 0.000000
0.466254 0.194563 0.000000
0.472928 0.194595 0.000000
